"","name","position","specialty","education"
"275","BERSU,EDWARD THORWALD","Professor Emer","Biomedical Engineering","PHD 1976 Univ of Wisconsin-Madison"
"276","BERTELSON,RYAN JOHN","Lecturer","Theatre &amp; Drama","BFA  Univ of Wisconsin-Whitewater"
"277","BERTRAM,LISA","Associate Professor","Kinesiology","PHD 2007 Yale University"
"278","BERTRAM,TIMOTHY H.","Professor","Chemistry","PHD 2006 Univ of California Berkeley"
"279","BERVEN,NORMAN LEE","Professor Emer","Rehab Psychology &amp; Special Ed","PHD 1973 Univ of Wisconsin-Madison"
"280","BESAW,LUKE ANTHONY","Adjunct Instructor","Amer Ind St","BA 2019 Univ of Wisconsin-Madison"
"281","BEST,KAREN","Senior Lecturer","English","MA 2009 Univ of Wisconsin-Madison"
"282","BETHKE,PAUL","Associate Professor","Horticulture","PHD 1995 Univ of California Berkeley"
"283","BETZ,NATALIE ANNE","Faculty Associate","Ms In Biotechnology Degree Prg","PHD 1992 Univ of Nebraska Medical Ctr"
"284","BHATTACHARYYA,ANITA","Assistant Professor","Cell And Regenerative Biology","PHD 1993 University of Cincinnati"
"285","BHAVNANI,RIKHIL","Associate Professor","Political Science","PHD 2010 Stanford University"
"286","BIER,VICKI","Professor","Industrial &amp; Systems Engr","PHD 1983 Massachusetts Inst Of Tech"
"287","BILBIJA,KSENIJA","Professor","Spanish And Portuguese","PHD 1990 University of Iowa"
"288","BILDER,ANNE ELIZABETH","Adjunct Instructor","Law School","JD 1993 Univ of Wisconsin-Madison"
"289","BILEN-ROSAS,GUELAY","Asst Professor (Chs)","Anesthesiology","MD 1999 Johannes Gutenburg Univ Mainz"
"290","BINKLEY,JENNIFER L.","Clinical Asst Prof","Law School","JD 2001 Univ of Wisconsin-Madison"
"291","BIRD,IAN M.","Professor","Obstetrics &amp; Gynecology","PHD 1987 University of London"
"292","BIRKELAND,LAURA ELIZABETH","Sr Clin Genetic Couns","Pediatrics","MS 2007 Univ of Wisconsin-Madison"
"293","BIRN,RASMUS","Associate Professor","Psychiatry","PHD 1999 Medical College Of Wisconsin"
"294","BISHOP,LAUREN","Assistant Professor","Social Work","PHD 2015 University of Pittsburgh"
"295","BISHOP,MALACHY LIAM","Professor","Rehab Psychology &amp; Special Ed","PHD 2000 Univ of Wisconsin-Madison"
"296","BISHOP,SEAN","Faculty Associate","English","MFA 2010 University Of Houston"
"297","BITZAN,AMOS","Assistant Professor","History","PHD 2011 Univ of California Berkeley"
"298","BIXLER,LITZA","Adjunct Instructor","Dance",NA
"299","BJORK,CLAIRE","Lecturer","Curriculum And Instruction","PHD 2019 Univ of Wisconsin-Madison"
"300","BJORLING,DALE E.","Professor","Surgical Sciences","DVM 1978 Univ of IL at Urbana-Champaign"
"301","BLACK,KEVIN","Professor","Physics","PHD 2005 Boston University"
"302","BLACKWELL,HELEN E.","Professor","Chemistry","PHD 1999 California Institute of Tech"
"303","BLAIR,SETH","Professor","Integrative Biology","PHD 1982 Univ of California Berkeley"
"304","BLAKE,JOCELYN MARIE","Asst Professor (Chs)","Anesthesiology","MD 2006 Univ of Wisconsin-Madison"
"305","BLANCHARD,DEANNA S","Clinical Instructor","Nursing","MSN 2010 Edgewood College"
"306","BLASIUS,LESLIE","Professor","Mead Witter School Of Music","PHD 1994 Princeton University"
"307","BLAZEK,JENNIFER RUTH","Lecturer","Cals Academic Affairs","MS 2010 Univ of Wisconsin-Madison"
"308","BLEAM,WILLIAM","Professor","Soil Science","PHD 1984 Cornell University"
"309","BLEEDORN,JASON","Clinical Assoc Prof","Surgical Sciences","DVM 2005 Univ of IL at Urbana-Champaign"
"310","BLOCH,BRANDON","Assistant Professor","History","PHD 2018 Harvard University"
"311","BLOCK,PAUL","Associate Professor","Civil &amp; Environmental Engr","PHD 2006 Univ of Colorado at Denver"
"312","BLOCK,STEPHEN BENJAMIN","Faculty Associate","Chemistry","PHD 2012 Univ of Wisconsin-Madison"
"313","BLOCK,WALLY","Professor","Biomedical Engineering","PHD 1998 Stanford University"
"314","BLONIEN,NATALIE","Faculty Associate","Academic Affairs","DPT  Arcadia University"
"315","BLOOM,VICKI D","Assoc Lecturer","Information School","MS 1981 Wayne State University"
"316","BLUE,JACOB MICHAEL","Assoc Lecturer","Planning &amp; Landscape Arch","MS 2000 Univ of Wisconsin-Madison"
"317","BLUM,BARAK","Assistant Professor","Cell And Regenerative Biology","PHD 2009 Hebrew University of Jerusalem"
"318","BLUM,HANNAH BETH","Assistant Professor","Civil &amp; Environmental Engr","PHD  "
"319","BLYTHE,VERDA","Faculty Associate","Marketing","MS 2002 Univ of Wisconsin-Madison"
"320","BOADO,JOEL MAGDALES","Assoc Lecturer","Civil &amp; Environmental Engr","BS 2000 Univ of Wisconsin-Madison"
"321","BOCHSLER,PHILIP N","Clinical Professor","Madison Pathology/Toxicology","PHD 1989 Cornell University"
"322","BOCK,ADAM J","Lecturer","Management &amp; Human Resources","MBA 1991 Edgewood College"
"323","BOCK-SHONKWILER,JULIE ANN","Assoc Lecturer","Social Work","MSW 1988 Univ of Wisconsin-Madison"
"324","BOEDER,STEVE","Faculty Associate","Erdman Ctr For Ops &amp; Tech Mgmt","MBA 1991 Edgewood College"
"325","BOEKHOFF-FALK,GRACE ELISABETH","Associate Professor","Cell And Regenerative Biology","PHD 1991 Univ of Wisconsin-Madison"
"326","BOELDT,DEREK STEVEN","Assistant Professor","Obstetrics &amp; Gynecology","PHD 2013 Univ of Wisconsin-Madison"
"327","BOERSMA,JOHN","Assoc Lecturer","Political Science","PHD 2019 Louisiana State U-Baton Rouge"
"328","BOGGESS,JACQUELYN LOUISE","Lecturer","Social Work","JD 1982 Univ of Wisconsin-Madison"
"329","BOHLIG,AMANDA JAN","Clinical Adjunct Asst Prof","Volunteer Staff","PHD 2013 Univ of Wisconsin-Madison"
"330","BOLDYREV,STANISLAV","Professor","Physics","PHD 1999 Princeton University"
"331","BOLLING,BRADLEY WARREN","Associate Professor","Food Science","PHD 2007 Univ of Wisconsin-Madison"
"332","BOLT,DANIEL","Professor","Educational Psychology","PHD 1999 Univ of IL at Urbana-Champaign"
"333","BOLY,MELANIE","Assistant Professor","Neurology","PHD  Universite de l'Etat a Liege"
"334","BOMKAMP,TAMMY M.","Clinical Instructor","Nursing","MSN 2005 University of Phoenix"
"335","BONAMICI,CHLOE","Assistant Professor","Geoscience","PHD 2013 Univ of Wisconsin-Madison"
"336","BONAZZA,RICCARDO","Professor","Engineering Physics","PHD 1992 California Institute of Tech"
"337","BONK,NICOLE A.","Asst Professor (Chs)","Family Medicine","MD 2009 Loyola University of Chicago"
"338","BOOK,EMILY KATE","Adjunct Asst Prof","Engr Professional Development","PHD 2014 North Carolina State Univ"
"339","BOOSKE,JOHN H.","Professor","Electrical &amp; Computer Engr","PHD 1985 Univ of Michigan at Ann Arbor"
"340","BOOTH,ERIC","Lecturer","Academic Programs","PHD 2011 Univ of Wisconsin-Madison"
"341","BOOTHALINGAM,SRIRAM","Assistant Professor","Communication Sci &amp; Disorders","PHD 2014 Trinity Western University"
"342","BOROWSKI,KRZYSZTOF","Assoc Lecturer","German, Nordic &amp; Slavic","MA  "
"343","BOSE,TULIKA","Professor","Physics","PHD 2007 Columbia University"
"344","BOSWELL,EDWARD","Assoc Faculty Assoc","Soil Science","PHD 2018 Univ of Wisconsin-Madison"
"345","BOSWELL,LAIRD","Professor","History","PHD 1988 Univ of California Berkeley"
"346","BOTERO,BEATRIZ LUCIA","Lecturer","Integ Liberal St","PHD 2012 Univ of Wisconsin-Madison"
"347","BOTEZ,DAN","Professor","Electrical &amp; Computer Engr","PHD 1976 Univ of California Berkeley"
"348","BOTHAM,SARAH","Faculty Associate","Life Sciences Communication","BS 1983 Univ of Wisconsin-Whitewater"
"349","BOUCHER,JOSEPH WILLIAM","Senior Lecturer","Wisconsin School Of Business","JD 1977 Univ of Wisconsin-Madison"
"350","BOUGHTON,SARA","Assoc Lecturer","Social Work","MSSW 2005 Univ of Wisconsin-Madison"
"351","BOUNDY,TERI","Lecturer","Geoscience","PHD 1995 Univ of Michigan at Ann Arbor"
"352","BOURG HACKER,DOMINIQUE CORINE","Lecturer","Wisconsin School Of Business","PHD 2018 Univ of Wisconsin-Madison"
"353","BOUSQUET,GILLES","Professor","French And Italian","PHD 1983 U de Provence Aix-Marseille I"
"354","BOUTILIER,JUSTIN J.","Assistant Professor","Industrial &amp; Systems Engr","PHD  University of Toronto"
"355","BOW,LESLIE","Professor","English","PHD 1993 Univ of California Santa Cruz"
"356","BOWE,SCOTT","Professor","Forest &amp; Wildlife Ecology","PHD 2000 Virginia State University"
"357","BOWEN,JEFF J.","Adjunct Instructor","Law School","JD 2002 Yale University"
"358","BOWER,GLENN ROBERT","Faculty Associate","Mechanical Engineering","PHD 1992 Univ of Wisconsin-Madison"
"359","BOWERS,BARBARA","Professor","Nursing","PHD 1984 U of California San Francisco"
"360","BOWERS,KRISTI","Clinical Instructor","Surgical Sciences",NA
"361","BOWIE,KATHERINE A.","Professor","Anthropology","PHD 1988 University of Chicago"
"362","BOWLING,JOSEPH","Lecturer","English","PHD 2018 City University Of New York"
"363","BOWMAN,MATT","Senior Lecturer","Chemistry","PHD 2006 Univ of Wisconsin-Madison"
"364","BOYDSTON,AJ","Professor","Chemistry","PHD 2007 University of Texas at Austin"
"365","BRACE,CHRIS","Associate Professor","Radiology","PHD 2005 Univ of Wisconsin-Madison"
"366","BRACHMAN,LAURIE","Senior Lecturer","Marketing","MA 1990 Marquette University"
"367","BRADBURY,ELIZABETH","Assoc Lecturer","Botany","PHD 2014 Univ of Wisconsin-Madison"
"368","BRADEN,MAIA NYSTRUM","Honorary Assoc/Fellow","Surgery","MS 2006 Univ of Wisconsin-Madison"
"369","BRADFIELD,CHRISTOPHER","Professor","Oncology","PHD 1986 Univ of California Berkeley"
"370","BRADLEY,KRISTIN ANN","Professor (Chs)","Human Oncology","MD 1999 Univ of Wisconsin-Madison"
"371","BRANCH,KRISTIN","Faculty Associate","A.C. Nielsen Ctr For Mkt Rsch","MBA 2002 Univ of Wisconsin-Madison"
"372","BRANCHAW,JANET LYNN","Assistant Professor","Kinesiology","PHD 1996 Univ of Wisconsin-Madison"
"373","BRANDT,CURTIS R.","Professor","Ophthalmology&amp;Visual Sciences","PHD 1984 Columbia University"
"374","BRANTLY,SUSAN","Professor","German, Nordic &amp; Slavic","PHD 1987 Yale University"
"375","BRAR,VICTOR W.","Assistant Professor","Physics","PHD 2010 Univ of California Berkeley"
"376","BRASIER,ALLAN R","Professor","Medicine","MD 1983 U of California San Francisco"
"377","BRATZKE,LISA","Associate Professor","Nursing","PHD 2009 Univ of Wisconsin-Madison"
"378","BRAUER,MARKUS","Professor","Psychology","PHD 1994 Univ of Colorado at Boulder"
"379","BRAUNGINN,JENNY","Assoc Faculty Assoc","Social Work","MSSW 1982 Univ of Wisconsin-Madison"
"380","BRAUS,MICHAEL","Honorary Assoc/Fellow","Botany","PHD 2020 Univ of Wisconsin-Madison"
"381","BRAVER,JOSHUA","Assistant Professor","Law School","PHD 2017 Yale University"
"382","BRAY,LORA N","Assoc Lecturer","Information School","MLIS 1993 Northern Illinois University"
"383","BREEDLOVE,TRISTAN S","Clinical Instructor","Law School","JD 2010 "
"384","BREKKE,LINDSAY RAE","Assoc Lecturer","Social Work","MSW 2012 Univ of Wisconsin-Madison"
"385","BRENNAN,MICHAEL","Adjunct Professor","Real Estate &amp; Urgan Land Econ","BS 1979 University of Notre Dame"
"386","BRENNER,RACHEL","Professor","Ctr For Jewish St","PHD 1986 York University"
"387","BRESCHAK,JON THOMAS","Faculty Associate","Integrative Biology","PHD 2013 Univ of Wisconsin-Madison"
"388","BRESLOW,ROBERT","Assoc Professor (Chs)","Pharmacy","BS 1975 Univ of Wisconsin-Madison"
"389","BRESNICK,EMERY H.","Professor","Cell And Regenerative Biology","PHD 1989 Univ of Michigan at Ann Arbor"
"390","BREUER,RYAN MARK","Clinical Asst Prof","Madison Administration","DMV 2012 Univ of Wisconsin-Madison"
"391","BRIEL,HALEY ELIZABETH","Asst Faculty Assoc","Integrative Biology","MS 2018 Univ of Wisconsin-Madison"
"392","BRIGGS,KATHERINE CHAREK","Lecturer","Counseling Psychology","MA 2012 University of Texas at Austin"
"393","BRIGHOUSE,HARRY","Professor","Philosophy","PHD 1991 Univ of Southern California"
"394","BRINSKO,ELEANOR O","Assoc Lecturer","Information School","MLIS 2014 Univ of Wisconsin-Milwaukee"
"395","BRITLAND,KAREN","Professor","English","PHD 2000 University of Leeds"
"396","BRITO,TONYA","Professor","Law School","JD 1989 Harvard University"
"397","BROCKLISS,WILLIAM","Associate Professor","Classic &amp; Ancient Near E Stds","PHD 2012 Yale University"
"398","BROMAN,KARL","Professor","Biostatistics&amp;Med Informatics","PHD 1997 Univ of California Berkeley"
"399","BRONKHORST,CURT A.","Professor","Engineering Physics","PHD 1991 Massachusetts Inst Of Tech"
"400","BROOKE,STEVEN","Assistant Professor","Political Science","PHD 2015 University of Texas at Austin"
"401","BROOKS,ERIN GRACE","Professor (Chs)","Pathology&amp;Laboratory Medicine","MD 2005 Univ of Wisconsin-Madison"
"402","BROOKS,NATHANIEL PHILLIPS","Assoc Professor (Chs)","Neurological Surgery","MD 2002 Medical College Of Wisconsin"
"403","BROOKSBY,RICHARD","Clinical Instructor","Surgical Sciences","DVM 2011 Kansas State University"
"404","BROSSARD,DOMINIQUE","Professor","Life Sciences Communication","PHD 2002 Cornell University"
"405","BROUNTS,SABRINA HELEN","Clinical Professor","Surgical Sciences","DVM 1999 Utrecht University"
"406","BROW,DAVID A.","Professor","Biomolecular Chemistry","PHD 1986 Univ of California San Diego"
"407","BROWN,BRADFORD","Professor","Educational Psychology","PHD 1979 University of Chicago"
"408","BROWN,DAVID P.","Professor","Finance","PHD 1984 Stanford University"
"409","BROWN,DUSTIN","Assoc Lecturer","Law School","JD 2007 New York University"
"410","BROWN,HEIDI WENDELL","Assistant Professor","Obstetrics &amp; Gynecology","MD 2006 Brown University"
"411","BROWN,JOSHUA","Clinical Asst Prof","Kinesiology","PHD 2013 Univ of Southern California"
"412","BROWN,LAWRENCE T","Visiting Assoc Prof","Population Health Sciences","PHD 2010 Univ of Tennessee, Memphis"
"413","BROWN,MATTHEW","Asst Professor (Chs)","Surgery","PHD  Univ of Wisconsin-Madison"
"414","BROWN,MATTHEW","Assistant Professor","African Cultural Studies","PHD 2014 Univ of Wisconsin-Madison"
"415","BROWN,RANDALL TODD","Associate Professor","Family Medicine","MD 1996 University of Washington"
"416","BRUCE,MICHAEL JOHN","Assoc Lecturer","Social Work","MSSW 1999 Univ of Wisconsin-Madison"
"417","BRUNKARD,JACOB O","Assistant Professor","Genetics","PHD 2015 Univ of California Berkeley"
"418","BRUNOLD,THOMAS C","Professor","Chemistry","PHD 1997 Universitat Berne"
"419","BRYAN,GINA MARIE","Clinical Professor","Nursing","DNP 2012 Univ of Wisconsin-Madison"
"420","BRYAN,TOM","Asst Faculty Assoc","Forest &amp; Wildlife Ecology","MS 2015 Univ of Wisconsin-Madison"
"421","BUCCINI,STEFANIA","Professor","French And Italian","PHD 1988 Brown University"
"422","BUCHBERGER JONES,AMANDA RAE","Asst Faculty Assoc","Chemistry","DS 2018 Univ of Wisconsin-Madison"
"423","BUCK,DOUGLAS SCOTT","Adjunct Instructor","Law School","JD 1993 Univ of Wisconsin-Madison"
"424","BUCKINGHAM,TANYA MICHELLE ANDERSEN","Instructl Prg Mgr Iii","Geography","MA 2016 Alfred Adler Institute"
"425","BUDGE,STEPHANIE","Associate Professor","Counseling Psychology","PHD 2011 Univ of Wisconsin-Madison"
"426","BUGNI,TIM S","Professor","Pharmacy","PHD 2003 University of Utah"
"427","BUHL,TIM","Lecturer","Marketing","MBA 2003 Univ of Wisconsin-Madison"
"428","BUHNEMANN,GUDRUN","Professor","Asian Languages &amp; Cultures","PHD 1980 Universitat Wien"
"429","BUHR-LAWLER,MELANIE","Clinical Professor","Communication Sci &amp; Disorders","AUD 2006 University of Florida"
"430","BUISCH,DERRICK","Professor","Art","MFA 1996 Univ of Minnesota-Twin Cities"
"431","BULLER,ANDREW R","Assistant Professor","Chemistry","PHD 2013 Johns Hopkins University"
"432","BULLOCK,ERIKA C","Assistant Professor","Curriculum And Instruction","PHD 2013 Georgia State University"
"433","BULLTAIL,GRACE A.","Assistant Professor","Academic Programs","PHD 2017 Cornell University"
"434","BUNN,HENRY T.","Professor","Anthropology","PHD 1982 Univ of California Berkeley"
"435","BURDEN,BARRY","Professor","Political Science","PHD 1998 Ohio State University"
"436","BURGER,CORINNA","Associate Professor","Neurology","PHD 1994 Univ of Colorado at Denver"
"437","BURGESS,RICHARD","Professor Emer","Oncology","PHD 1969 Harvard University"
"438","BURGOYNE,JOSEPH","Assoc Lecturer","Accting &amp; Info Sys","MACC 2020 Univ of Wisconsin-Madison"
"439","BURIVALOVA,ZUZANA","Assistant Professor","Forest &amp; Wildlife Ecology","PHD 2015 Eidgenossische Tec Hoch Zurich"
"440","BURK,LINNEA","Clinical Assoc Prof","Psychology","PHD 1998 Auburn University"
"441","BURKARD,MARK EDWARD","Professor","Medicine","PHD 2001 University Of Rochester"
"442","BURKHOLDER,KRISTY","Faculty Associate","Human Development&amp;Family Study","PHD 2003 Univ of Wisconsin-Madison"
"443","BURKI,KRISTIN ANNE","Asst Faculty Assoc","Social Work","MSW 2004 Univ of Wisconsin-Madison"
"444","BURLINGHAM,WILLIAM J.","Professor","Surgery","PHD 1979 Syracuse University"
"445","BURNS,ERIK","Assoc Faculty Assoc","Pharmacy","EDD 2014 St Marys Univ of Minnesota"
"446","BURNS,MARGUERITE ELIZABETH","Associate Professor","Population Health Sciences","PHD 2008 Univ of Wisconsin-Madison"
"447","BURSTYN,JUDITH N.","Professor","Chemistry","PHD 1986 Univ of California Los Angeles"
"448","BURT,BRIAN A.","Assistant Professor","Ed Leadership&amp;Policy Analysis","PHD 2014 University of MI"
"449","BURTON,ALEXANDRA JANE","Clinical Asst Prof","Medical Sciences","PHD 2014 University of Georgia"
"450","BURTON,BRIANA","Associate Professor","Bacteriology","PHD 2003 Massachusetts Inst Of Tech"
"451","BURTON,ROBERT J","Assoc Lecturer","Political Science","PHD 2020 University of Notre Dame"
"452","BURTON,SKYLAR TREE","Visiting Asst Prof","Mathematics","PHD 2020 Univ of Tennessee, Knoxville"
"453","BUSH,LIZ","Assistant Professor","Family Medicine","MS  "
"454","BUSSE,WILLIAM W.","Professor","Medicine","MD 1966 Univ of Wisconsin-Madison"
"455","BUTCHER,KACIE LUCCHINI","Adjunct Asst Prof","History","MA 2019 Univ of Minnesota-Twin Cities"
"456","BUTCHER,SAMUEL E.","Professor","Biochemistry","PHD 1995 University of Vermont"
"457","BUTLER,JEFFREY DAVID","Lecturer","Art","BS 2018 Univ of Wisconsin-Madison"
"458","BUTLER,MARGARET","Associate Professor","Mead Witter School Of Music","PHD 2000 Ohio State University"
"459","BYKHOVSKAYA,ANNA","Assoc Lecturer","Economics","PHD 2019 Yale University"
"460","BYKOVSKYI,ANDREA","Assistant Professor","Nursing","PHD 2014 Univ of Wisconsin-Madison"
"461","BYKOWSKI,ERIN F.","Lecturer","Consumer Science","MA  "
"462","BYRD-MCPHEE,MICHELE","Adjunct Instructor","Dance","MS 2009 Drexel University"
"463","CABRERA,VICTOR E","Professor","Animal And Dairy Sciences","PHD 2004 University of Florida"
